aoa,cl,cd
0,0.3228,0.08333
1,0.3616,0.08828
2,0.374,0.09485
3,0.4397,0.1022
4,0.4814,0.1122
5,0.5183,0.1214
6,0.5581,0.1325
7,0.6,0.1448
8,0.6416,0.1581
9,0.6844,0.1728
10,0.7293,0.1891
11,0.7724,0.2069
12,0.8129,0.2246
13,0.8609,0.2464
14,0.9014,0.266
15,0.9479,0.2893
16,0.9935,0.3127
17,1.0406,0.338
18,1.0912,0.3664
19,1.1403,0.3952
20,1.1839,0.4219
21,1.231,0.4515
22,1.2794,0.4832
23,1.3272,0.5166
24,1.3772,0.5523
25,1.4224,0.5857
26,1.4629,0.6173
27,1.4992,0.6477
28,1.5348,0.6778
29,1.5723,0.7112
30,1.6045,0.7418
31,1.6395,0.7769
32,1.6873,0.8229
33,1.7303,0.867
34,1.7695,0.9068
35,1.8094,0.9545
36,1.8486,1.0011
37,1.8831,1.0452
38,1.9174,1.0945
39,1.9442,1.1436
40,1.9609,1.1905
41,1.9643,1.2436
42,1.9442,1.2993
43,1.8922,1.3168
44,1.6733,1.3168
45,1.6336,1.3517
46,1.6372,1.3892
47,1.5728,1.3861
48,1.4551,1.4079
49,1.3985,1.4301
50,1.398,1.4907
51,1.3879,1.5439
52,1.4479,1.6373
53,1.38,1.653
54,1.373,1.708
55,1.368,1.7696
56,1.3666,1.8322
57,1.3651,1.8998
58,1.3679,1.967
59,1.3646,2.0426
60,1.3631,2.1197
61,1.3666,2.207
62,1.3879,2.3316
63,1.3484,2.3777
64,1.3745,2.5076
65,1.3793,2.6257
66,1.3789,2.7448
67,1.3826,2.8778
68,1.3809,3.0117
69,1.3802,3.1569
70,1.3824,3.3098
71,1.3745,3.4761
72,1.3681,3.6503
73,1.3544,3.8187
74,1.3357,3.9273
75,1.31106,4.1581
76,1.2879,4.3531
77,1.2546,4.5307
78,1.2105,4.712
79,1.1608,4.8865
80,1.1099,5.0713
81,1.049,5.2474
82,0.9814,5.3858
83,0.9117,5.6392
84,0.8316,5.8443
85,0.7492,6.0679
86,0.6588,6.2896
87,0.5665,6.6154
88,0.4608,6.7127
89,0.3176,6.9575
90,0.2167,7.2301
91,0.0767,7.3927
92,0.0568,6.9302
93,0.1781,6.5437
94,0.2783,6.1696
95,0.3797,5.7996
96,0.4565,5.5039
97,0.5309,5.2101
98,0.598,4.9197
99,0.6549,4.6857
100,0.7074,4.4488
101,0.757,4.2387
102,0.7996,4.0361
103,0.8395,3.8442
104,0.868,3.6633
105,0.8996,3.4977
106,0.9257,3.3375
107,0.9485,3.1875
108,0.9697,3.0474
109,0.99303,2.9222
110,1.0109,2.7995
111,1.0237,2.6801
112,1.0501,2.5878
113,1.0626,2.4829
114,1.0745,2.3854
115,1.0824,2.2894
116,1.0934,2.2029
117,1.0977,2.1159
118,1.0911,2.019
119,1.107,3.131
120,1.1237,3.1894
121,1.0594,1.7465
122,1.0752,1.7158
123,1.0853,1.6912
124,1.0951,1.6652
125,1.1167,1.6135
126,1.1236,1.5598
127,1.2314,1.5021
128,1.1236,1.4475
129,1.1307,1.4026
130,1.1352,1.3572
131,1.1378,1.3113
132,1.1333,1.2602
133,1.1387,1.2192
134,1.1413,1.1796
135,1.1421,1.1353
136,1.1472,1.0971
137,1.1684,1.0685
138,1.2607,1.0614
139,1.3492,1.0576
140,1.3868,1.0416
141,1.563,1.0394
142,1.589,1.0152
143,1.5836,1.0044
144,1.551,0.9541
145,1.4952,0.8885
146,1.4501,0.8331
147,1.3965,0.7744
148,1.3426,0.7174
149,1.2969,0.6684
150,1.2382,0.6118
151,1.2083,0.5735
152,1.1845,0.5346
153,1.1349,0.5097
154,1.1095,0.4967
155,1.0874,0.4439
156,1.0476,0.4144
157,1.029,0.3944
158,0.9931,0.3687
159,0.9599,0.3459
160,0.9368,0.3264
161,0.9057,0.3062
162,0.8694,0.2844
163,0.8381,0.2655
164,0.8092,0.2497
165,0.7753,0.231
166,0.741,0.2145
167,0.709,0.1995
168,0.6757,0.185
169,0.641,0.1708
170,0.6086,0.1584
171,0.5718,0.1455
172,0.537,0.1346
173,0.503,0.1246
174,0.472,0.1166
175,0.4369,0.1085
176,0.4007,0.1016
177,0.3635,0.0948
178,0.3327,0.0908
179,0.2974,0.0877
180,0.263,0.0853
181,0.2256,0.0836
182,0.188,0.0827
183,0.1499,0.0826
184,0.1121,0.0837
185,0.0742,0.0864
186,0.0394,0.0903
187,-0.001,0.0951
188,-0.0337,0.1028
189,-0.0702,0.1105
190,-0.0975,0.119
191,-0.1334,0.1287
192,-0.1557,0.1398
193,-0.1868,0.1523
194,-0.2144,0.1651
195,-0.2253,0.176
196,-0.2449,0.19
197,-0.2501,0.2007
198,-0.2535,0.2146
199,-0.2425,0.2246
200,-0.2358,0.2352
201,-0.2156,0.2442
202,-0.1904,0.2517
203,-0.1948,0.2657
204,-0.1834,0.2766
205,-0.1793,0.2902
206,-0.1713,0.3027
207,-0.1803,0.3184
208,-0.1855,0.336
209,-0.1864,0.3532
210,-0.1878,0.3678
211,-0.1961,0.3873
212,-0.1921,0.4036
213,-0.1957,0.4241
214,-0.2031,0.4447
215,-0.2089,0.4633
216,-0.2106,0.4871
217,-0.2223,0.5136
218,-0.2261,0.5334
219,-0.2275,0.5596
220,-0.2345,0.5883
221,-0.2468,0.6178
222,-0.2443,0.6407
223,-0.251,0.673
224,-0.2589,0.7064
225,-0.2696,0.7408
226,-0.2762,0.7757
227,-0.2754,0.8082
228,-0.2783,0.846
229,-0.2837,0.891
230,-0.2924,0.9268
231,-0.3017,0.9721
232,-0.3055,1.0175
233,-0.3069,1.0633
234,-0.3114,1.1148
235,-0.3123,1.165
236,-0.3079,1.2157
237,-0.3129,1.2783
238,-0.3176,1.3433
239,-0.3174,1.4054
240,-0.3161,1.4676
241,-0.3105,1.5322
242,-0.306059207,1.605019401
243,-0.303165005,1.690514671
244,-0.297119273,1.771881267
245,-0.291374124,1.86149542
246,-0.286737,1.954264761
247,-0.278404764,2.056757814
248,-0.270463553,2.164109372
249,-0.260392018,2.280172282
250,-0.251691793,2.40230608
251,-0.234887571,2.548938414
252,-0.216456722,2.665974792
253,-0.196567489,2.806354602
254,-0.174189863,2.959534254
255,-0.149366861,3.112768405
256,-0.115159749,3.261335633
257,-0.080001668,3.42094007
258,-0.042650521,3.573278025
259,0.000836124,3.733665296
260,0.046973804,3.897449834
261,0.098942337,4.056582267
262,0.151323731,4.223750632
263,0.207759715,4.389524035
264,0.270778288,4.572113349
265,0.333469934,4.754521668
266,0.544801055,4.942409928
267,0.483830736,5.047725062
268,0.56339407,5.35592873
269,0.655381527,5.561101073
270,0.75538435,5.771242814
271,0.842151289,6.024184128
272,0.858232764,6.147937321
273,0.955873783,5.765738523
274,0.896768794,5.338284266
275,0.889657306,5.090651428
276,0.903672051,4.773256318
277,0.932945864,4.51725749
278,0.938103056,4.380875827
279,0.940614644,4.014422552
280,0.937880163,3.817768902
281,0.936125694,3.631664663
282,0.927259293,3.454519902
283,0.917857665,3.29568674
284,0.912660028,3.143431197
285,0.904710041,2.996466772
286,0.89742142,2.860393188
287,0.890811814,2.733647775
288,0.883403974,2.615173349
289,0.874412919,2.499463915
290,0.868268029,2.393447806
291,0.854497102,2.296848417
292,0.846034831,2.195046194
293,0.834603641,2.104717835
294,0.827532716,2.01508088
295,0.81471531,1.935363725
296,0.804317672,1.853196052
297,0.790008014,1.775973764
298,0.778136605,1.696408836
299,0.76527852,1.626875081
300,0.749481655,1.558387217
301,0.736532533,1.488894377
302,0.72454053,1.428523789
303,0.706427591,1.370306453
304,0.691184944,1.310167839
305,0.677557125,1.254916182
306,0.665574478,1.204529614
307,0.642768896,1.156953992
308,0.654904643,1.103907799
309,0.634284646,1.085519784
310,0.612645816,1.032999047
311,0.591548557,0.982676104
312,0.579171842,0.935024889
313,0.560885804,0.897872042
314,0.540534464,0.856848504
315,0.528070089,0.814080088
316,0.506533721,0.781438608
317,0.466499302,0.743013414
318,0.46549425,0.672305174
319,0.451827797,0.671627741
320,0.434491219,0.642177833
321,0.410451733,0.611479549
322,0.389691581,0.578566685
323,0.377634869,0.548135875
324,0.347574902,0.525229297
325,0.327246114,0.492166373
326,0.309277172,0.465333393
327,0.286454544,0.440287773
328,0.260437872,0.414803298
329,0.243706135,0.38811858
330,0.227944557,0.367763241
331,0.227474092,0.348453096
332,0.209781747,0.333562163
333,0.185396287,0.315652306
334,0.172713212,0.294539163
335,0.165947037,0.279184631
336,0.153267372,0.266449109
337,0.141396749,0.252205724
338,0.130936896,0.239065568
339,0.118022206,0.227036804
340,0.119216085,0.215236788
341,0.105845988,0.207075259
342,0.0919556,0.195694649
343,0.080682554,0.184494812
344,0.067280865,0.174335601
345,0.053869418,0.163952877
346,0.04565286,0.154048792
347,0.031829399,0.145341616
348,0.015020306,0.135413417
349,-0.004001167,0.12702064
350,-0.019864723,0.119918086
351,-0.04046725,0.113130803
352,-0.063808277,0.106689498
353,-0.089052646,0.099988455
354,-0.115127959,0.094189426
355,-0.143859574,0.089188891
356,-0.175868661,0.0849628
357,-0.213760419,0.081252443
358,-0.248716431,0.079283232
359,-0.284689447,0.079352773
